generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
161000,L_virgatum,A_pubescens,0,0.133858,0.0530413,0.176886,0
162000,L_virgatum,A_pubescens,0,0.121265,0.028647,0.13688,0
163000,L_virgatum,A_pubescens,0,0.0903259,0.0592274,0.102052,0
164000,L_virgatum,A_pubescens,0,0.103247,0.0797492,0.117081,0
165000,L_virgatum,A_pubescens,0,0.0938062,0.0359004,0.093177,0
166000,L_virgatum,A_pubescens,0,0.149843,0.0128084,0.145657,0
167000,L_virgatum,A_pubescens,0,0.203739,0.00814882,0.195385,0
168000,L_virgatum,A_pubescens,0,0.196881,0.0120302,0.225404,0
169000,L_virgatum,A_pubescens,0,0.211824,0.0100409,0.225982,0
170000,L_virgatum,A_pubescens,0,0.240304,0.00248462,0.195565,0
171000,L_virgatum,A_pubescens,0,0.224682,0.000161223,0.169282,0
172000,L_virgatum,A_pubescens,0,0.231295,-0.000922165,0.155885,0
173000,L_virgatum,A_pubescens,0,0.154218,0.0482874,0.224062,0
174000,L_virgatum,A_pubescens,0,0.130353,0.0113646,0.123738,0
175000,L_virgatum,A_pubescens,0,0.135898,0.0141257,0.125468,0
176000,L_virgatum,A_pubescens,0,0.165952,0.00236748,0.0890655,0
177000,L_virgatum,A_pubescens,0,0.196846,0.00546003,0.179211,0
178000,L_virgatum,A_pubescens,0,0.146527,0.0130201,0.132989,0
179000,L_virgatum,A_pubescens,0,0.181651,0.00739341,0.148423,0
180000,L_virgatum,A_pubescens,0,0.158321,0.0061427,0.136838,0
181000,L_virgatum,A_pubescens,0,0.173552,0.0492514,0.250036,0
181000,A_pubescens,NA,27.1482,0.0515435,0.0883895,0.228372,0
182000,L_virgatum,A_pubescens,0,0.135535,0.0185074,0.164542,0
183000,L_virgatum,A_pubescens,0,0.360503,-0.00210907,0.276917,0
184000,L_virgatum,A_pubescens,0,0.167211,0.0118906,0.177994,0
185000,L_virgatum,A_pubescens,0,0.345098,-0.00316102,0.270478,0
186000,L_virgatum,A_pubescens,0,0.31757,-0.00596494,0.185827,0
187000,L_virgatum,A_pubescens,0,0.238382,0.00131162,0.179519,0
188000,L_virgatum,A_pubescens,0,0.276945,-0.000424259,0.235899,0
189000,L_virgatum,A_pubescens,0,0.222531,0.00296798,0.183704,0
190000,L_virgatum,A_pubescens,0,0.185599,0.013238,0.197268,0
191000,L_virgatum,A_pubescens,0,0.393372,-0.00377966,0.296271,0
192000,L_virgatum,A_pubescens,0,0.0881886,0.0324904,0.0871122,0
193000,L_virgatum,A_pubescens,0,0.171462,0.00486625,0.135063,0
194000,L_virgatum,A_pubescens,0,0.112548,0.0430781,0.155443,0
195000,L_virgatum,A_pubescens,0,0.19849,0.0628889,0.325448,0
196000,L_virgatum,A_pubescens,0,0.151583,0.039854,0.204793,0
197000,L_virgatum,A_pubescens,0,0.154575,0.0207931,0.200402,0
198000,L_virgatum,A_pubescens,0,0.123186,0.0160617,0.130385,0
199000,L_virgatum,A_pubescens,0,0.122189,0.0210881,0.105635,0
200000,L_virgatum,A_pubescens,0,0.107663,0.011849,0.088141,0
201000,L_virgatum,A_pubescens,0,0.22251,0.00523405,0.163925,0
202000,L_virgatum,A_pubescens,0,0.131148,0.0889425,0.197641,0
203000,L_virgatum,A_pubescens,0,0.161807,0.0125306,0.184598,0
204000,L_virgatum,A_pubescens,0,0.194847,0.0152118,0.20584,0
205000,L_virgatum,A_pubescens,0,0.201083,0.00075474,0.119486,0
206000,L_virgatum,A_pubescens,0,0.136901,0.0152055,0.135146,0
207000,L_virgatum,A_pubescens,0,0.141717,0.0141534,0.123197,0
208000,L_virgatum,A_pubescens,0,0.165841,0.0249814,0.208489,0
209000,L_virgatum,A_pubescens,0,0.123062,0.0132521,0.0955711,0
210000,L_virgatum,A_pubescens,0,0.1178,0.0220033,0.128175,0
211000,L_virgatum,A_pubescens,0,0.14161,0.00764322,0.129101,0
212000,L_virgatum,A_pubescens,0,0.125954,0.0872203,0.197381,0
213000,L_virgatum,A_pubescens,0,0.0973541,0.0798427,0.0928409,0
214000,L_virgatum,A_pubescens,0,0.140013,0.0102547,0.136239,0
215000,L_virgatum,A_pubescens,0,0.171418,0.00659779,0.121277,0
216000,L_virgatum,A_pubescens,0,0.166277,0.00923646,0.178043,0
217000,L_virgatum,A_pubescens,0,0.114466,0.0282784,0.122,0
218000,L_virgatum,A_pubescens,0,0.244469,0.00151706,0.209378,0
219000,L_virgatum,A_pubescens,0,0.399212,-0.00367336,0.315077,0
219000,Re_indica,NA,56.1097,1.18825,0.0754594,0.736133,0
220000,L_virgatum,A_pubescens,0,0.338336,-0.00197511,0.261433,0
221000,L_virgatum,A_pubescens,0,0.293506,-0.00197511,0.222241,0
222000,L_virgatum,A_pubescens,0,0.202286,0.00238254,0.170166,0
223000,L_virgatum,A_pubescens,0,0.3587,-0.00659489,0.240555,0
224000,L_virgatum,A_pubescens,0,0.10957,0.0273145,0.0827083,0
225000,L_virgatum,A_pubescens,0,0.125718,0.0511529,0.152798,0
226000,L_virgatum,A_pubescens,0,0.097718,0.0396836,0.102452,0
227000,L_virgatum,A_pubescens,0,0.113208,0.0516273,0.130665,0
228000,L_virgatum,A_pubescens,0,0.138951,0.0842141,0.212661,0
229000,L_virgatum,A_pubescens,0,0.144376,0.0589262,0.210813,0
230000,L_virgatum,A_pubescens,0,0.117828,0.0125623,0.0870536,0
231000,L_virgatum,A_pubescens,0,0.107488,0.0383213,0.134545,0
232000,L_virgatum,A_pubescens,0,0.133436,0.100284,0.206107,0
233000,L_virgatum,A_pubescens,0,0.184324,0.00409707,0.133496,0
234000,L_virgatum,A_pubescens,0,0.166161,0.00350759,0.103885,0
234000,A_pubescens,NA,50.971,0.182234,0.0483972,0.800774,0
235000,L_virgatum,A_pubescens,0,0.116467,0.0221065,0.124251,0
236000,L_virgatum,A_pubescens,0,0.11495,0.0547335,0.156398,0
237000,L_virgatum,A_pubescens,0,0.150329,0.0142279,0.128583,0
238000,L_virgatum,A_pubescens,0,0.141177,0.0411137,0.20313,0
239000,L_virgatum,A_pubescens,0,0.144147,0.0770772,0.213679,0
240000,L_virgatum,A_pubescens,0,0.15275,0.0122408,0.132419,0
241000,L_virgatum,A_pubescens,0,0.177324,0.00679918,0.150823,0
242000,L_virgatum,A_pubescens,0,0.144734,0.0047145,0.103177,0
243000,L_virgatum,A_pubescens,0,0.149044,0.0102724,0.145479,0
244000,L_virgatum,A_pubescens,0,0.128028,0.0142926,0.100293,0
245000,L_virgatum,A_pubescens,0,0.132321,0.0185109,0.129885,0
246000,L_virgatum,A_pubescens,0,0.251357,-0.00153611,0.17647,0
